row m/z;MCCe0449.mzML Peak area;MCCe0450.mzML Peak area;MCCe0451.mzML Peak area;MCCe0452.mzML Peak area;MCCe0453.mzML Peak area;MCCe0454.mzML Peak area;MCCe0455.mzML Peak area;MCCe0456.mzML Peak area;MCCe0457.mzML Peak area;MCCe0458.mzML Peak area;MCCe0459.mzML Peak area;MCCe0460.mzML Peak area;MCCe0461.mzML Peak area;MCCe0462.mzML Peak area;MCCe0463.mzML Peak area;MCCe0464.mzML Peak area;MCCe0465.mzML Peak area;MCCe0466.mzML Peak area;MCCe0467.mzML Peak area;MCCe0468.mzML Peak area;MCCe0469.mzML Peak area;MCCe0470.mzML Peak area;MCCe0471.mzML Peak area;MCCe0472.mzML Peak area;MCCe0473.mzML Peak area;MCCe0474.mzML Peak area;MCCe0481.mzML Peak area;MCCe0482.mzML Peak area;MCCe0483.mzML Peak area;MCCe0484.mzML Peak area;MCCe0485.mzML Peak area;MCCe0486.mzML Peak area;MCCe0487.mzML Peak area;MCCe0488.mzML Peak area;MCCe0489.mzML Peak area;MCCe0490.mzML Peak area;MCCe0491.mzML Peak area;MCCe0492.mzML Peak area;MCCe0493.mzML Peak area;MCCe0494.mzML Peak area;MCCe0495.mzML Peak area;MCCe0496.mzML Peak area;MCCe0497.mzML Peak area;MCCe0498.mzML Peak area;MCCe0499.mzML Peak area;MCCe0500.mzML Peak area;MCCe0501.mzML Peak area;MCCe0502.mzML Peak area;MCCe0503.mzML Peak area;MCCe0504.mzML Peak area
214.1800247;185.60571;190.23024;305.08084;240.82285;224.80261;190.84251;142.73236;184.05841;186.14766;197.36023;362.1085;267.73752;326.66;327.06424;166.85812;445.39636;394.0085;349.03766;309.28314;329.06058;287.69037;377.56766;241.579;447.19125;380.90097;286.05865;821.0428;986.5183;1098.758;2014.1826;947.6439;1815.4923;2215.0486;1670.856;1216.7427;1850.6057;2112.2078;963.44165;1015.9977;1305.5613;830.05176;1080.8917;1926.7682;2519.4336;2354.0962;1048.8119;1036.8998;1255.1855;644.6686;1396.9076
216.1958043;61.24885;32.20848;59.23606;79.82757;29.744705;88.445625;53.159683;46.818237;32.540707;59.503357;44.436657;1.8741001;45.40928;100.495476;0;53.951538;5.85131;0;95.23196;64.50921;109.01394;21.080313;18.355488;6.3049064;108.21692;104.465416;1625.3789;1404.504;1493.7434;1894.3584;21.868492;56.41932;0;217.1993;54.241455;109.2169;25.2271;0;1602.6423;1953.6835;790.67084;1568.3885;30.577147;56.670242;27.934055;212.93124;0;147.42538;145.5669;156.04509
216.9227804;97.920715;83.11618;99.75923;115.95784;89.99966;79.35109;72.77958;80.96152;80.674934;155.51224;97.14091;115.01701;91.365845;96.497955;121.08209;101.332954;106.26013;78.26773;144.73543;98.030136;89.54637;115.30783;85.002106;119.151115;105.93357;97.591705;0;50.99433;0;0;0;0;0;0;0;0;0;134.35489;0;0;0;0;12.446489;0;0;0;382.8667;0;8.322348;0
220.146276;1047.3203;738.40564;818.4054;867.6326;730.64087;747.7234;563.06665;534.74945;443.10303;1335.4849;480.9232;583.36774;479.74966;507.89563;469.9958;446.2017;481.38275;543.6743;655.3365;572.2109;677.2201;478.3759;478.4714;497.46823;608.8288;533.3014;786.0606;2084.6172;691.15625;1779.6665;0;0;0;1.8747418;5.9151597;0;0;244.63722;403.62735;353.77487;2553.233;475.45938;6.419697;0;0;0;3.070209;0;8.788873;0
222.1433042;140.73366;145.54362;70.254524;221.70964;190.72075;166.7485;125.04905;79.96667;100.46071;360.96207;116.74713;152.75496;118.2692;112.448074;112.47272;98.22484;114.16783;70.06846;170.2632;164.46027;88.206894;74.62773;129.79805;125.11316;151.06729;139.34981;258.24875;712.9197;177.28078;552.1484;0;0;0;0;0;0;0;34.40699;105.848305;51.816242;857.0464;141.80043;0;0;0;0;2.1233532;0;0;0
222.1463855;13.621651;31.886562;67.01824;74.162994;85.72367;54.159763;16.982866;54.32055;23.828018;81.85281;28.970005;36.301517;62.87883;60.078186;55.18995;50.445026;79.28289;89.418106;44.682976;45.750805;65.1066;79.19595;42.20185;53.44195;129.39214;51.515938;308.51587;385.9125;484.0077;476.74664;514.2672;469.26224;535.91;414.38617;513.7802;466.0233;565.7235;579.23724;503.32043;455.35992;440.30634;500.1937;541.51465;602.49335;616.9015;550.5559;583.99927;540.8374;457.602;473.64783
222.146398;80.83687;112.95578;153.29424;149.02245;198.56403;96.64415;51.039757;79.97013;152.3345;80.31233;42.87349;41.815784;80.666176;74.07039;61.011814;89.97763;56.027813;75.342285;53.34316;30.561436;36.60025;89.86372;83.16561;117.54012;57.620197;31.463339;525.55383;932.05414;765.84875;610.0008;947.56604;1166.4304;1076.1185;1079.9767;625.3334;1214.584;1202.6678;1229.7528;976.106;895.7954;1202.2727;1448.125;1444.7457;1215.8536;1547.6515;1125.3768;1199.6442;1252.0559;957.7122;1643.5382
222.146488;0;0;1.949516;0;0;0;0;2.2753708;2.176621;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30.47184;74.28429;63.059452;45.45626;625.7062;195.79448;927.1217;157.23729;97.6301;32.070347;564.45844;132.68501;27.940723;75.46566;18.164171;37.48497;44.85945;1245.1548;1273.33;155.61205;42.546257;88.48445;170.18022;41.60391
225.9876903;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;238.3165;0;0;0;0;0;0;0;0;0;2146.8765;0;0;0;0;0;0;0;0;785.9442;0;0;0
226.9516297;397.4335;376.07248;391.8108;440.1209;367.11755;346.33835;307.069;267.94696;295.3678;688.10016;526.94257;536.4981;471.53995;561.5774;684.5599;659.0985;580.4324;488.3626;570.65533;593.68646;591.74054;596.6299;499.59177;624.322;651.2374;580.3037;13.257652;213.39662;2.1644423;33.10204;0;0;11.4407425;0;0;0;0;48.990063;0;0;0;16.868319;77.29201;17.15159;48.893555;0;612.85657;0;54.62107;19.989319
227.0830982;0;0;0;0;0;0;0;0;0;328.4911;389.49725;199.89473;380.83975;358.69257;180.33789;356.81772;190.70476;406.76358;419.5103;412.3122;455.88763;377.63586;201.01169;212.1606;368.81378;381.73865;0;1.9974921;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
229.1412363;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;443.61853;396.30707;153.9781;496.89307;1454.7101;431.7699;335.68317;3476.4424;961.74915;2545.8496;406.7551;992.22034;2079.413;624.3756;521.724;96.27341;5461.222;306.01453;628.3534;368.1676;232.898;1665.0879;669.2224;1492.1484
