0;0;0;0;0;0;0;0;0;0;0;1922;1922;1922;2519;2212;2208;1949;1976;2427;1445;2025;1791;1865;1835;1338;1708;1951;1583;1713;0;0;0
0;0;0;0;0;0;0;0;0;0;0;1882;1882;1882;2160;2046;2155;1933;1841;2413;1390;1934;1710;1719;1790;1415;1573;2061;1528;1818;0;0;0
0;0;0;0;0;0;0;0;0;0;0;1985;1985;1985;2472;2677;2572;2384;2391;2744;1957;2246;1955;2146;2176;1885;1974;2347;2123;2251;0;0;0
0;0;0;0;0;42;84;22;0;0;30;113;113;113;0;0;0;0;23;0;23;0;0;201;0;209;46;0;23;0;1800;1800;1800
0;0;0;0;0;23;36;0;112;76;0;0;0;0;0;126;2347;0;0;0;238;0;189;209;2292;95;0;163;0;0;0;0;0
21;21;21;104;21;0;119;23;129;0;0;32;32;32;188;0;0;3059;0;0;26;0;349;224;0;0;25;42;0;0;0;0;0
0;0;0;21;34;0;0;0;0;37;25;0;0;0;0;0;133;0;55;27;0;0;119;23;0;0;1728;21;0;56;0;0;0
122;122;122;376;4;323;144;206;214;2200;334;206;206;206;674;86;497;46;107;115;231;207;183;136;137;128;5398;218;1358;163;409;409;409
0;0;0;0;0;42;103;194;134;0;34;0;0;0;0;0;0;0;0;0;0;2396;221;0;136;20;0;21;258;0;0;0;0
0;0;0;0;74;36;23;48;22;0;0;0;0;0;2083;25;41;114;0;0;164;0;0;0;0;0;0;0;0;145;42;42;42
163;163;163;0;0;32;0;39;144;0;0;0;0;0;0;361;0;0;0;0;0;0;0;2482;0;116;0;0;0;275;0;0;0
38;38;38;23;44;26;46;0;23;21;124;0;0;0;140;0;0;0;22;0;0;113;0;119;0;1910;0;21;28;58;0;0;0
26;26;26;43;52;0;24;0;0;0;0;117;117;117;0;0;0;32;1775;0;201;0;0;162;0;0;0;0;36;26;36;36;36
149;149;149;21;1791;96;32;24;49;26;21;0;0;0;661;0;0;0;0;0;0;0;0;0;297;0;0;0;243;0;0;0;0
163;163;163;46;0;0;0;109;0;0;285;0;0;0;0;2547;0;0;0;0;0;0;0;0;0;0;0;0;0;54;0;0;0
170;170;170;0;0;0;176;0;198;0;0;1950;1950;1950;1544;1962;2275;1933;1551;2116;1626;2045;1943;1819;1801;1751;2014;1374;1681;1298;1972;1972;1972
0;0;0;0;0;0;0;0;0;0;0;35;35;35;740;1862;290;446;656;4096;2360;4661;421;654;317;173;23;30;118;526;178;178;178
1315;1315;1315;687;759;860;442;1008;870;530;869;1407;1407;1407;1188;1717;1172;1287;543;1105;699;992;1849;971;551;1416;1276;1422;775;2228;962;962;962
97;97;97;101;0;978;0;0;0;0;0;213;213;213;23;43;3285;21;396;0;30;760;26;26;21;27;0;0;18594;533;0;0;0
542;542;542;301;1569;263;401;937;1387;859;742;1220;1220;1220;594;547;464;443;876;1420;1344;312;466;526;834;609;344;336;519;615;580;580;580
676;676;676;364;508;591;213;942;794;771;354;454;454;454;495;189;607;1003;368;303;647;254;268;345;349;734;1541;225;247;453;735;735;735
284;284;284;962;1058;323;808;406;208;655;873;725;725;725;459;874;959;279;1676;818;690;792;717;642;452;831;1789;544;278;582;363;363;363
387;387;387;206;1027;422;792;268;574;228;596;1198;1198;1198;1239;238;2400;179;2082;417;1293;871;836;1295;1370;1727;1343;1192;1312;1708;555;555;555
512;512;512;890;346;1036;705;731;486;631;474;311;311;311;138;183;151;130;1287;239;163;285;1155;412;306;74;175;132;152;437;130;130;130
395;395;395;565;423;254;211;359;957;1033;250;392;392;392;491;1340;794;1772;532;1558;1950;852;693;520;755;428;224;1036;306;1558;978;978;978
493;493;493;486;280;539;940;1264;162;1003;380;63;63;63;163;1387;784;108;113;108;20;73;35;129;93;137;1628;251;224;36;155;155;155
677;677;677;936;1014;1392;2519;967;824;2526;1042;1477;1477;1477;1362;252;308;431;500;734;508;293;594;1527;400;896;1718;336;158;529;515;515;515
383;383;383;330;436;173;1391;1047;482;231;440;45;45;45;627;88;90;33;52;47;70;79;706;741;1326;81;143;160;91;51;212;212;212
399;399;399;317;815;946;726;409;892;1081;909;761;761;761;318;340;2117;484;1901;553;281;584;1032;1673;590;803;879;905;2014;784;287;287;287
446;446;446;197;162;350;290;235;92;189;246;1123;1123;1123;650;587;597;646;371;436;404;819;171;280;521;205;368;3329;301;1173;290;290;290
864;864;864;913;358;820;798;1540;712;729;866;532;532;532;726;330;929;203;1521;1296;1448;302;195;1025;1391;382;602;584;1098;638;1073;1073;1073
1582;1582;1582;392;933;581;1677;347;338;320;1251;518;518;518;198;1613;476;399;1084;540;1485;702;1080;209;522;408;498;531;579;1138;818;818;818
883;883;883;672;1146;494;214;1242;920;468;665;261;261;261;505;224;378;536;283;263;138;694;1307;1385;373;284;472;1228;491;529;529;529;529
240;240;240;862;545;904;852;1394;461;553;888;347;347;347;91;83;267;208;67;93;1317;56;147;103;174;303;1059;50;37;84;412;412;412
646;646;646;678;654;1322;476;2742;4003;876;930;258;258;258;1278;859;1443;2399;1083;303;679;667;569;402;960;929;568;738;623;206;492;492;492
519;519;519;647;579;882;788;518;569;1172;626;463;463;463;588;577;414;320;801;1747;527;461;691;518;1641;483;795;1368;839;909;245;245;245
532;532;532;121;413;310;890;634;496;345;478;155;155;155;185;118;110;111;1263;24;45;232;361;36;58;68;34;75;379;69;263;263;263
672;672;672;720;659;242;803;1023;545;809;250;1810;1810;1810;496;597;287;506;880;1176;1351;303;493;1675;676;265;206;804;1022;769;1443;1443;1443
1281;1281;1281;335;700;813;398;552;751;1567;982;718;718;718;878;238;785;424;378;642;670;265;412;1301;442;198;477;1017;223;640;756;756;756
749;749;749;419;613;641;600;711;495;890;1290;1457;1457;1457;212;424;470;556;1749;552;567;213;499;168;1238;377;887;324;449;1486;743;743;743
807;807;807;219;1494;495;398;840;478;997;1519;187;187;187;261;237;147;391;344;392;232;1360;472;587;354;600;1349;430;154;1200;708;708;708
745;745;745;167;983;1251;286;1178;474;318;684;311;311;311;312;141;580;826;177;261;120;270;333;332;633;376;196;174;695;123;470;470;470
320;320;320;446;951;965;623;318;226;854;577;1054;1054;1054;310;449;1266;385;317;513;584;1352;1583;675;636;646;4951;372;1289;426;867;867;867
580;580;580;331;190;146;784;306;416;728;481;870;870;870;222;51;95;127;46;66;1024;52;162;25;113;174;134;214;142;216;406;406;406
158;158;158;153;159;458;408;189;307;369;325;610;610;610;297;508;181;813;179;459;212;312;3087;395;287;573;379;1088;134;770;285;285;285
555;555;555;1056;208;434;462;404;776;382;759;976;976;976;1772;216;346;273;974;1187;911;843;822;222;1019;810;749;1506;220;1043;219;219;219
1469;1469;1469;957;340;487;550;627;1204;873;709;957;957;957;814;988;625;703;381;668;1546;551;1414;1148;643;490;954;346;1197;339;475;475;475
1060;1060;1060;152;157;233;717;871;604;525;732;66;66;66;361;54;398;134;99;134;160;86;574;187;183;24;127;24;1120;253;1582;1582;1582
430;430;430;499;428;557;646;655;898;712;1181;386;386;386;816;155;318;1731;496;157;353;266;1184;164;551;308;190;215;247;284;354;354;354
624;624;624;564;877;427;667;1091;360;1092;376;504;504;504;1497;538;717;510;494;602;212;1101;505;1395;460;3987;492;179;340;514;1139;1139;1139
597;597;597;249;805;706;576;599;326;223;408;476;476;476;948;808;2001;668;928;383;437;743;345;832;221;554;1753;501;479;641;553;553;553
1083;1083;1083;581;1076;546;712;1271;747;233;1167;359;359;359;647;392;402;1273;416;440;982;1142;965;872;375;242;516;1146;579;619;347;347;347
544;544;544;1191;901;452;702;577;548;1479;353;431;431;431;1010;448;1570;437;819;582;351;454;338;610;391;145;2004;563;363;163;476;476;476
822;822;822;2125;669;335;469;393;814;633;364;616;616;616;1315;571;171;467;158;669;218;975;490;1104;364;423;1121;379;1167;450;626;626;626
409;409;409;595;704;861;1043;418;895;1252;828;854;854;854;330;269;457;423;228;430;461;537;404;234;491;230;1293;567;1618;211;522;522;522
427;427;427;934;650;916;322;1399;293;675;352;408;408;408;406;237;584;639;995;173;916;5854;1722;1000;1314;693;739;786;2192;559;438;438;438
375;375;375;387;393;496;893;455;979;446;448;441;441;441;728;435;589;353;658;248;649;1214;243;393;715;878;735;769;292;378;438;438;438
